name;source;target;max_latency;bandwidth;availability;vnf_list;
d_1;N7;N13;10;2;0.999984;vnf_7,vnf_8,vnf_5,vnf_3,vnf_1
d_2;N11;N7;10;9;0.999981;vnf_4,vnf_3,vnf_8,vnf_2
d_3;N10;N15;10;7;0.999999;vnf_7,vnf_2,vnf_3
d_4;N6;N1;10;12;0.999932;vnf_3,vnf_5
d_5;N1;N14;10;8;0.999926;vnf_4,vnf_8,vnf_3,vnf_5
d_6;N10;N7;10;9;0.999933;vnf_3,vnf_4,vnf_5,vnf_8,vnf_1
d_7;N13;N8;10;4;0.999971;vnf_5,vnf_1,vnf_2
d_8;N14;N11;10;3;0.999986;vnf_8,vnf_2,vnf_6,vnf_1
d_9;N8;N10;10;5;0.999936;vnf_4,vnf_8,vnf_7,vnf_5,vnf_1
d_10;N3;N7;10;2;0.999982;vnf_4
d_11;N15;N14;10;6;0.999913;vnf_6,vnf_7,vnf_2,vnf_5
d_12;N9;N3;10;6;0.999984;vnf_2,vnf_5,vnf_8
d_13;N12;N11;10;10;0.999934;vnf_2,vnf_7,vnf_1,vnf_3,vnf_5
d_14;N6;N3;10;4;0.999956;vnf_1,vnf_3
d_15;N5;N2;10;8;0.999990;vnf_4,vnf_5
d_16;N7;N4;10;2;0.999940;vnf_7,vnf_2,vnf_4,vnf_8
d_17;N12;N11;10;5;0.999910;vnf_4,vnf_6,vnf_1,vnf_7,vnf_8
d_18;N1;N7;10;10;0.999943;vnf_6,vnf_5,vnf_3,vnf_4,vnf_1
d_19;N6;N3;10;8;0.999913;vnf_7,vnf_5,vnf_6
d_20;N7;N5;10;11;0.999945;vnf_5,vnf_1,vnf_8,vnf_4,vnf_2
