name;source;target;max_latency;bandwidth;availability;vnf_list;
d_1;STTLng;ATLAng;10;7;0.999931;vnf_6,vnf_2,vnf_7,vnf_5,vnf_8
d_2;STTLng;ATLAng;10;6;0.999968;vnf_8,vnf_5,vnf_1,vnf_3
d_3;STTLng;CHINng;10;4;0.999998;vnf_1,vnf_3,vnf_4,vnf_6
d_4;SNVAng;KSCYng;10;11;0.999907;vnf_7,vnf_4,vnf_3,vnf_6,vnf_8
d_5;LOSAng;IPLSng;10;9;0.999993;vnf_8,vnf_1,vnf_6,vnf_7
d_6;KSCYng;CHINng;10;2;0.999945;vnf_8
d_7;WASHng;ATLAM5;10;9;0.999908;vnf_7,vnf_8,vnf_6
d_8;LOSAng;IPLSng;10;5;0.999993;vnf_7
d_9;ATLAM5;WASHng;10;12;0.999921;vnf_7
d_10;NYCMng;SNVAng;10;7;0.999995;vnf_8
d_11;SNVAng;ATLAng;10;3;0.999906;vnf_8
d_12;STTLng;WASHng;10;2;0.999941;vnf_5,vnf_8,vnf_7
d_13;SNVAng;ATLAM5;10;11;0.999921;vnf_7,vnf_8
d_14;DNVRng;LOSAng;10;5;0.999969;vnf_4,vnf_3,vnf_6,vnf_2,vnf_5
d_15;HSTNng;NYCMng;10;9;0.999990;vnf_1,vnf_3,vnf_8,vnf_4
d_16;SNVAng;WASHng;10;10;0.999934;vnf_1,vnf_8,vnf_4,vnf_3
d_17;STTLng;LOSAng;10;12;0.999914;vnf_3,vnf_6,vnf_7
d_18;HSTNng;SNVAng;10;4;0.999953;vnf_8,vnf_4,vnf_3,vnf_7
d_19;STTLng;NYCMng;10;12;0.999977;vnf_1
d_20;IPLSng;STTLng;10;11;0.999954;vnf_4,vnf_6,vnf_3
