node_C_10demand_1;0.168448;28926;28926;0;0;0;0;0;0.00121975;
node_R_10demand_1;0.235451;18461;18459.2;0.00968007;0;0.001;94;0;0.00395942;
node_U_10demand_1;3600.04;49096;43267.2;11.8722;576367;397.078;18227;0;98.5917;
node_C_20demand_1;3600.16;34494;32084.2;6.98614;891358;686.272;26545;0;258.511;
node_R_20demand_1;1.23434;26549;26547;0.00741292;991;0.001;399;0;0.172503;
node_U_20demand_1;3605.07;68599;51052.9;25.5777;207071;173.063;34531;0;67.4748;
node_C_30demand_1;3600.07;44904;37375.7;16.7653;1052818;902.315;14219;0;451.138;
node_R_30demand_1;3602.14;39153;31541.8;19.4395;629006;480.725;17159;0;271.982;
node_C_40demand_1;3600.05;48269;40597.3;15.8936;834637;691.879;6597;0;440.647;
node_R_40demand_1;3600.19;41521;34067.3;17.9517;429092;249.706;23182;0;239.285;
node_C_10demand_2;3600.2;33318;32004;3.94381;322285;137.717;58260;0;57.5875;
node_R_10demand_2;0.521491;25971;25968.8;0.00834264;873;0.001;485;0;0.064532;
node_U_10demand_2;3603.15;57275;54404;5.01266;3607862;2519.89;15812;0;460.556;
node_C_20demand_2;2.12745;30603;30600.1;0.00949879;5357;0.014;0;0;0.657975;
node_R_20demand_2;9.01325;20822;20819.9;0.0099845;13246;0.014;817;0;1.89327;
node_U_20demand_2;3600.03;59062;41931.9;29.0037;267739;118.172;42317;0;79.283;
node_C_30demand_2;16.0236;35306;35302.6;0.00967184;13975;0.036;0;0;2.87363;
node_R_30demand_2;3600.03;30865;27106.5;12.1772;729571;549.923;7842;0;291.948;
node_U_30demand_2;3601.41;126213;48069.4;61.914;109798;101.655;29103;0;53.2699;
node_C_40demand_2;3603.12;47090;42920;8.85533;1182733;925.618;1556;0;560.827;
node_R_40demand_2;3600.03;46273;31391.3;32.1606;357344;260.236;19389;0;198.955;
node_C_10demand_3;0.046613;28566;28566;0;0;0;0;2700588;0.000108719;
node_R_10demand_3;2.03498;20872;20870;0.00958222;10100;0.003;1109;2700588;0.498118;
node_U_10demand_3;3600.03;49307;45144.7;8.44164;1406703;723.188;24121;2700588;211.02;
node_C_20demand_3;4.98035;30582;30579.8;0.00735727;7768;0.007;87;0;1.34431;
node_R_20demand_3;3600.04;26511;26320;0.720403;2187857;192.552;8358;0;519.473;
node_U_20demand_3;3600.11;77856;41687.9;46.4551;152370;138.655;39130;0;61.1322;
node_C_30demand_3;3601.32;41189;35012.8;14.9948;1064151;920.199;17494;41;464.343;
node_R_30demand_3;3600.04;33187;30189.5;9.03223;1178253;960.406;12061;41;477.496;
node_U_30demand_3;3602.41;128018;53743.2;58.019;172491;161.737;32087;41;83.0085;
node_C_40demand_3;3606.46;41331;40133;2.89856;1894583;1517.1;0;0;752.798;
node_R_40demand_3;3603.59;41591;26319.6;36.7181;402454;353.629;13077;0;226.139;
node_C_10demand_4;0.040391;28566;28566;0;0;0;0;0;0.000266075;
node_R_10demand_4;0.174405;17649;17649;0;0;0;149;0;0.00880218;
node_U_10demand_4;1751.33;46286;46281.4;0.00995621;1688475;0.375;13482;0;200.886;
node_C_20demand_4;1.57217;30658;30655.1;0.00955429;3434;0.008;0;28;0.372679;
node_R_20demand_4;138.461;22646;22643.8;0.00982901;194355;0.018;2766;28;30.7552;
node_U_20demand_4;3600.05;61182;42169.7;31.075;234136;194.463;24711;28;72.162;
node_C_30demand_4;24.3902;33831;33827.6;0.00999365;38320;0.129;0;1;7.0812;
node_R_30demand_4;3600.04;26658;25720.4;3.51727;1666837;1082.19;6210;1;502.794;
node_U_30demand_4;3600.07;85792;46611.4;45.6693;145015;134.263;26647;1;59.1093;
node_C_40demand_4;3600.05;42585;38213.8;10.2647;1169484;1011.52;10181;875768883;609.48;
node_R_40demand_4;3602.83;38805;29861.4;23.0476;522768;389.868;14608;875768883;291.638;
node_C_10demand_5;0.033673;28566;28566;0;0;0;0;0;0.00022912;
node_R_10demand_5;13.3624;23812;23811;0.00419956;37198;0.001;1360;0;2.62942;
node_U_10demand_5;3600.04;54362;46300;14.8302;1486674;1158.78;24912;0;210.832;
node_C_20demand_5;3600.05;36758;36125.7;1.72014;2413659;944.049;8687;0;602.731;
node_R_20demand_5;234.256;26270;26267.4;0.00987137;243706;0.036;3276;0;46.2272;
node_U_20demand_5;3600.04;81310;50081.2;38.4071;246317;111.047;48219;0;98.4281;
node_C_30demand_5;156.006;36422;36418.4;0.0099911;154274;0.9;130;0;38.1846;
node_R_30demand_5;3600.03;31448;24426.8;22.3264;569307;285.451;18882;0;268.667;
node_U_30demand_5;3602.21;130511;47445.6;63.6463;137632;129.752;30107;0;75.6025;
node_C_40demand_5;2236.31;38105;38101.2;0.00999945;1408432;3.812;255;959654961;446.399;
node_R_40demand_5;3603.75;33493;27958.5;16.5245;846654;620.735;9613;959654961;421.808;
